reaction,origin,rule
R11736,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11739,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11766,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11767,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11865,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11907,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11909,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R11947,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12091,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12094,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12102,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12103,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12132,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12140,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12185,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12268,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12274,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12310,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12335,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12421,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12539,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12683,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R12686,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R00001,map_rn2ko_viaEC_1minus,frozenset({'K06018'})
R00011,map_rn2ko_viaEC_1minus,frozenset({'K20205'})
R00015,map_rn2ko_viaEC_1minus,frozenset({'K21351'})
R00017,map_rn2ko_viaEC_1minus,frozenset({'K00428'})
R00029,map_rn2ko_viaEC_1minus,frozenset({'K19713'})
R00034,map_rn2ko_viaEC_1minus,frozenset({'K01669'})
R00041,map_rn2ko_viaEC_1minus,frozenset({'K17756'})
R00053,map_rn2ko_viaEC_1minus,frozenset({'K10759'})
