rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R00854,https://www.genome.jp/entry/R00854,2.4.1.96,,1,0,,
R00865,https://www.genome.jp/entry/R00865,1.1.2.2,,1,0,,
R00870,https://www.genome.jp/entry/R00870,1.1.1.138,,1,0,,
R00871,https://www.genome.jp/entry/R00871,1.1.1.124,,1,0,,
R00874,https://www.genome.jp/entry/R00874,1.1.99.28,K00118,1,1,,
R00876,https://www.genome.jp/entry/R00876,2.7.1.1,K00844,1,1,,
R00877,https://www.genome.jp/entry/R00877,5.3.1.7,,1,0,,
R00881,https://www.genome.jp/entry/R00881,3.6.1.21,K18447,1,1,,
R00883,https://www.genome.jp/entry/R00883,2.7.7.22,,1,0,,
R00892,https://www.genome.jp/entry/R00892,1.8.1.6,,1,0,,
R00901,https://www.genome.jp/entry/R00901,4.4.1.10,,1,0,,
R00903,https://www.genome.jp/entry/R00903,5.1.1.10,,1,0,,
R00906,https://www.genome.jp/entry/R00906,1.5.1.26,,1,0,,
R00909,https://www.genome.jp/entry/R00909,3.5.1.21,,1,0,,
R00911,https://www.genome.jp/entry/R00911,3.4.13.4,,1,0,,
R00913,https://www.genome.jp/entry/R00913,3.5.3.17,K18459,1,1,,
R00932,https://www.genome.jp/entry/R00932,2.3.3.11,,1,0,,
R00949,https://www.genome.jp/entry/R00949,2.7.1.10,,1,0,,
R00953,https://www.genome.jp/entry/R00953,2.4.1.31,,1,0,,
R00954,https://www.genome.jp/entry/R00954,2.7.7.34,,1,0,,
R00957,https://www.genome.jp/entry/R00957,2.4.1.139,,1,0,,
R00960,https://www.genome.jp/entry/R00960,2.7.1.41,,1,0,,
R00973,https://www.genome.jp/entry/R00973,4.1.1.66,,1,0,,
R00975,https://www.genome.jp/entry/R00975,1.3.3.7,,1,0,,
R00976,https://www.genome.jp/entry/R00976,1.17.99.4,,1,0,,
R00980,https://www.genome.jp/entry/R00980,1.14.13.35,,1,0,,
R00983,https://www.genome.jp/entry/R00983,1.13.11.23,,1,0,,
R00989,https://www.genome.jp/entry/R00989,2.3.1.113,,1,0,,
R00990,https://www.genome.jp/entry/R00990,4.1.1.24,,1,0,,
R00995,https://www.genome.jp/entry/R00995,4.1.1.112,K01003,1,1,,
R00998,https://www.genome.jp/entry/R00998,2.3.3.6,,1,0,,
R01003,https://www.genome.jp/entry/R01003,3.1.3.51,,1,0,,
R01006,https://www.genome.jp/entry/R01006,3.1.4.48,,1,0,,
R01007,https://www.genome.jp/entry/R01007,2.7.8.15,K01001,1,1,,
R01008,https://www.genome.jp/entry/R01008,2.4.1.153,K21304,1,1,,
R01014,https://www.genome.jp/entry/R01014,4.1.2.2,,1,0,,
R01019,https://www.genome.jp/entry/R01019,1.2.5.2,,1,0,,
R01027,https://www.genome.jp/entry/R01027,2.8.2.6,,1,0,,
R01028,https://www.genome.jp/entry/R01028,3.1.6.6,K01133,1,1,,
R01029,https://www.genome.jp/entry/R01029,3.1.1.8,K01050,1,1,,
R01031,https://www.genome.jp/entry/R01031,4.5.1.2,,1,0,,
R01043,https://www.genome.jp/entry/R01043,3.1.3.19,,1,0,,
R01044,https://www.genome.jp/entry/R01044,2.7.1.79,,1,0,,
R01045,https://www.genome.jp/entry/R01045,1.1.99.22,,1,0,,
R01050,https://www.genome.jp/entry/R01050,2.7.1.18,,1,0,,
R01052,https://www.genome.jp/entry/R01052,2.7.7.35,,1,0,,
R01053,https://www.genome.jp/entry/R01053,6.3.4.7,,1,0,,
R01075,https://www.genome.jp/entry/R01075,6.2.1.11,,1,0,,
R01076,https://www.genome.jp/entry/R01076,3.5.1.12,K01435,1,1,,
R01079,https://www.genome.jp/entry/R01079,1.1.1.115,,1,0,,
R01081,https://www.genome.jp/entry/R01081,5.3.1.20,,1,0,,
R01089,https://www.genome.jp/entry/R01089,2.3.1.66,,1,0,,
R01091,https://www.genome.jp/entry/R01091,5.4.3.7,,1,0,,
R01099,https://www.genome.jp/entry/R01099,1.1.3.9,K04618,1,1,,
R01109,https://www.genome.jp/entry/R01109,1.8.4.4,,1,0,,
R01110,https://www.genome.jp/entry/R01110,1.8.4.1,,1,0,,
R01111,https://www.genome.jp/entry/R01111,1.8.4.3,,1,0,,
R01113,https://www.genome.jp/entry/R01113,1.8.4.4,,1,0,,
R01128,https://www.genome.jp/entry/R01128,3.2.2.12,,1,0,,
R01139,https://www.genome.jp/entry/R01139,2.7.1.1,K00844,1,1,,
R01140,https://www.genome.jp/entry/R01140,2.7.1.1,K00844,1,1,,
